#Angle potential for harmonic

ANGLE1
N 1001

440 79.2 13.285514824849223 1.0498233761240001
441 79.38 13.097218570473393 1.0423572280520004
442 79.56 12.910266222750504 1.0348910799800002
443 79.74 12.724657781680591 1.0274249319080004
444 79.92 12.540393247263625 1.0199587838360002
445 80.1 12.357472619499632 1.0124926357640005
446 80.28 12.175895898388585 1.0050264876920003
447 80.46 11.995663083930513 0.9975603396200006
448 80.64 11.816774176125385 0.9900941915480003
449 80.82 11.639229174973233 0.9826280434760005
450 81 11.463028080474025 0.9751618954040002
451 81.17999999999999 11.288170892627793 0.9676957473320006
452 81.36 11.114657611434506 0.9602295992600003
453 81.53999999999999 10.942488236894192 0.9527634511880007
454 81.72 10.771662769006827 0.9452973031160004
455 81.89999999999999 10.602181207772434 0.9378311550440006
456 82.08 10.434043553190987 0.9303650069720003
457 82.25999999999999 10.267249805262514 0.9228988589000007
458 82.44 10.101799963986988 0.9154327108280004
459 82.61999999999999 9.937694029364433 0.9079665627560006
460 82.8 9.774932001394827 0.9005004146840004
461 82.98 9.61351388007818 0.8930342666120001
462 83.16 9.453439665414509 0.8855681185400004
463 83.34 9.294709357403782 0.8781019704680001
464 83.52 9.137322956046027 0.8706358223960005
465 83.7 8.981280461341223 0.8631696743240002
466 83.88 8.826581873289388 0.8557035262520004
467 84.06 8.673227191890502 0.8482373781800002
468 84.24 8.52121641714459 0.8407712301080005
469 84.42 8.370549549051624 0.8333050820360002
470 84.6 8.22122658761163 0.8258389339640005
471 84.78 8.073247532824585 0.8183727858920002
472 84.96 7.92661238469051 0.8109066378200005
473 85.14 7.781321143209385 0.8034404897480002
474 85.32 7.63737380838123 0.7959743416760006
475 85.5 7.494770380206025 0.7885081936040003
476 85.67999999999999 7.353510858683791 0.7810420455320005
477 85.86 7.213595243814505 0.7735758974600003
478 86.03999999999999 7.0750235355981905 0.7661097493880006
479 86.22 6.937795734034824 0.7586436013160003
480 86.39999999999999 6.80191183912443 0.7511774532440006
481 86.58 6.667371850866986 0.7437113051720003
482 86.75999999999999 6.534175769262511 0.7362451571000006
483 86.94 6.402323594310985 0.7287790090280003
484 87.11999999999999 6.271815326012431 0.7213128609560007
485 87.3 6.142650964366826 0.7138467128840004
486 87.47999999999999 6.014830509374191 0.7063805648120007
487 87.66 5.888353961034507 0.6989144167400004
488 87.84 5.763221319347781 0.6914482686680001
489 88.02 5.639432584314026 0.6839821205960004
490 88.2 5.516987755933221 0.6765159725240001
491 88.38 5.395886834205387 0.6690498244520005
492 88.56 5.276129819130502 0.6615836763800002
493 88.74 5.157716710708587 0.6541175283080005
494 88.92 5.040647508939623 0.6466513802360002
495 89.1 4.924922213823627 0.6391852321640005
496 89.28 4.810540825360583 0.6317190840920002
497 89.46 4.697503343550507 0.6242529360200005
498 89.64 4.585809768393383 0.6167867879480002
499 89.82 4.4754600998892275 0.6093206398760005
500 90 4.366454338038023 0.6018544918040003
501 90.17999999999999 4.258792482839787 0.5943883437320006
502 90.36 4.1524745342945035 0.5869221956600003
503 90.53999999999999 4.047500492402188 0.5794560475880006
504 90.72 3.9438703571628237 0.5719898995160003
505 90.89999999999999 3.841584128576428 0.5645237514440006
506 91.08 3.740641806642984 0.5570576033720003
507 91.25999999999999 3.641043391362508 0.5495914553000006
508 91.44 3.542788882734984 0.5421253072280003
509 91.61999999999999 3.4458782807604282 0.5346591591560006
510 91.8 3.3503115854388246 0.5271930110840004
511 91.97999999999999 3.2560887967701877 0.5197268630120007
512 92.16 3.1632099147545043 0.5122607149400004
513 92.34 3.071674939391781 0.5047945668680001
514 92.52 2.9814838706820246 0.4973284187960004
515 92.7 2.8926367086252216 0.4898622707240001
516 92.88 2.805133453221385 0.48239612265200044
517 93.06 2.718974104470502 0.47492997458000014
518 93.24 2.634158662372585 0.46746382650800045
519 93.42 2.5506871269276217 0.45999767843600015
520 93.6 2.468559498135625 0.45253153036400046
521 93.78 2.387775775996582 0.4450653822920002
522 93.96 2.308335960510505 0.4375992342200005
523 94.14 2.230240051677382 0.4301330861480002
524 94.32 2.1534880494972253 0.42266693807600053
525 94.5 2.0780799539700223 0.41520079000400023
526 94.67999999999999 2.0040157650957853 0.40773464193200054
527 94.86 1.9312954828745026 0.40026849386000024
528 95.03999999999999 1.8599191073061854 0.39280234578800055
529 95.22 1.7898866383908225 0.3853361977160003
530 95.39999999999999 1.7211980761284253 0.3778700496440006
531 95.58 1.6538534205189825 0.3704039015720003
532 95.75999999999999 1.5878526715625052 0.3629377535000006
533 95.94 1.523195829258983 0.3554716054280003
534 96.11999999999999 1.4598828936084254 0.34800545735600064
535 96.3 1.3979138646108227 0.34053930928400034
536 96.47999999999999 1.3372887422661852 0.33307316121200065
537 96.66 1.278007526574503 0.3256070131400004
538 96.84 1.2200702175357807 0.3181408650680001
539 97.02 1.163476815150023 0.3106747169960004
540 97.2 1.1082273194172207 0.3032085689240001
541 97.38 1.0543217303373829 0.2957424208520004
542 97.56 1.0017600479105009 0.2882762727800001
543 97.74 0.9505422721365829 0.28081012470800043
544 97.92 0.900668403015621 0.2733439766360002
545 98.1 0.852138440547623 0.26587782856400044
546 98.28 0.804952384732581 0.2584116804920002
547 98.46 0.7591102355705028 0.2509455324200005
548 98.64 0.7146119930613811 0.2434793843480002
549 98.82 0.6714576572052229 0.23601323627600052
550 99 0.6296472280020212 0.22854708820400021
551 99.17999999999999 0.5891807054517828 0.22108094013200053
552 99.36 0.5500580895545012 0.21361479206000025
553 99.53999999999999 0.5122793803101827 0.20614864398800056
554 99.72 0.47584457771882127 0.19868249591600026
555 99.89999999999999 0.4407536817804227 0.19121634784400057
556 100.08 0.4070066924949813 0.1837501997720003
